"player","level_overall","level_atk","level_def","level_str","level_constiution","level_range","level_prayer","level_magic","level_cooking","level_wood_cutting","level_fletching","level_fishing","level_fire_making","level_crafting","level_smithing","level_mining","level_herb","level_agile","level_theiving","level_slayer","level_farming","level_rune_crafting","level_hunting","level_construction","level_summoning","level_dungeoneering","level_div","level_inven","level_arc","total_xp_overall","cluster","Basic_member_pure","Obby_Mauler_Pure","Black_Pure","Turmoil_Proselyte_Pure","Barrows_Pure","Anti_Pure","Summoning_Tank_Defence"
"Melbourne",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0
"T0rvezta",800,64,61,64,63,48,35,48,38,43,17,53,35,32,21,43,28,33,18,38,1,1,1,1,1,1,1,1,1,2159772,1,0,0,0,0,0,0,0
"Jeffette",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5292404042,1,0,0,0,0,0,0,0
"God+Wings+1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Brad+is+rad",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2429639699,2,0,0,0,0,0,0,0
"pommesfritte",1596,64,74,62,79,88,61,70,62,77,61,69,71,62,64,63,57,66,54,65,38,42,46,38,62,41,58,1,1,16896098,3,0,0,0,0,0,0,0
"Any+dcersss",2891,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,113,99,99,99,99,120,99,120,120,3029236974,2,0,0,0,0,0,0,0
"orale2500",689,64,60,60,58,16,24,18,1,52,1,1,75,60,48,1,1,1,15,15,1,1,18,1,1,1,1,1,1,2962884,1,0,0,0,0,0,0,0
"Akpaloli",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0
"Ariazain",1130,64,65,62,62,22,39,34,51,29,49,52,64,23,44,81,69,49,28,41,1,1,1,37,25,41,33,1,43,5812915,3,0,0,0,0,0,0,0
"Tank+Factor",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4184709271,1,0,0,0,0,0,0,0
"Zorax71",906,64,60,66,63,26,38,46,54,81,33,71,33,49,44,60,15,25,15,1,1,23,1,1,1,1,1,1,1,5541688,3,0,0,0,0,0,0,0
"RsRuffy",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3947052656,1,0,0,0,0,0,0,0
"Runner+Cow",1874,64,64,64,57,64,79,64,75,81,60,77,77,82,83,75,58,62,50,37,58,77,69,77,44,83,81,45,67,29718153,1,0,0,0,0,0,0,0
"Alvil",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0
"far+go+nooob",1362,64,62,56,45,54,55,44,50,53,65,58,69,65,53,53,47,30,47,47,32,44,37,41,50,41,68,1,31,5007191,3,0,0,0,0,0,0,0
"ESCANOR+the1",2895,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,117,99,99,120,120,99,99,99,99,120,99,120,120,2128664460,2,0,0,0,0,0,0,0
"Sen+operator",937,64,62,61,62,33,40,34,26,94,67,29,66,38,52,53,1,38,34,37,23,1,1,1,1,1,1,1,1,11044878,1,0,0,0,0,0,0,0
"Konota",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0
"FLlPPlTY",1019,64,20,95,86,90,52,94,67,39,28,22,50,35,21,34,19,49,53,32,1,50,1,1,1,1,1,1,1,28399431,1,0,0,0,0,0,0,0
"Calculus",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0
"Da+Pro+Sk8er",954,64,65,74,71,67,46,61,63,74,44,60,68,37,39,49,1,1,1,27,1,31,1,1,1,1,1,1,1,6705040,1,0,0,0,0,0,0,0
"weedfield",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4186523460,1,0,0,0,0,0,0,0
"PkGolf",1002,64,62,63,65,54,39,52,52,45,48,50,43,44,64,70,17,26,30,47,1,16,1,1,1,1,1,1,1,3735599,1,0,0,0,0,0,0,0
"ZIRGU+ZAGLIS",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0
"Baby+Maulstd",433,64,64,1,66,1,1,1,1,1,1,1,33,1,1,1,99,1,1,62,1,1,1,1,1,1,1,1,1,15918468,3,0,0,0,0,0,0,0
"Yunahon",2879,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,109,99,99,120,115,99,99,99,99,120,99,120,117,2096992597,2,0,0,0,0,0,0,0
"TheG00N23",901,64,56,62,61,1,31,48,66,69,70,61,21,39,46,56,1,25,31,25,1,1,1,25,16,1,1,1,1,4047632,1,0,0,0,0,0,0,0
"Angel+Cloud",2623,99,99,99,99,99,99,99,60,78,95,66,99,91,99,80,102,84,71,104,120,96,99,85,99,90,83,120,109,1895361336,2,0,0,0,0,0,0,0
"Ashmos1077",1184,64,65,65,65,50,43,37,57,71,82,76,50,61,64,56,75,43,31,38,25,16,1,1,1,1,24,1,1,9302784,1,0,0,0,0,0,0,0
"iron+dude4",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3265888347,2,0,0,0,0,0,0,0
"reddragonfx1",1180,64,60,72,69,66,52,73,74,75,72,48,54,58,35,35,24,39,53,49,20,1,50,1,23,1,1,1,1,8329006,1,0,0,0,0,0,0,0
"Iris+By+GGD",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4554980883,1,0,0,0,0,0,0,0
"LGCY+backer",1350,64,70,54,69,53,61,72,70,58,31,53,50,61,50,60,73,61,54,67,72,50,1,1,45,26,1,1,1,8505666,1,0,0,0,0,0,0,0
"Lance+Jr",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2826158202,2,0,0,0,0,0,0,0
"14FreSha29",1673,64,70,64,68,62,73,74,74,75,91,71,99,79,71,90,34,52,62,60,27,61,39,44,26,73,36,1,33,38001841,1,0,0,0,0,0,0,0
"Sleepy+Trev",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4980244265,1,0,0,0,0,0,0,0
"Cease+Faith",1718,64,76,64,79,87,74,90,52,67,52,62,69,85,83,64,50,53,44,61,27,99,30,40,63,88,30,1,64,45234476,1,0,0,0,0,0,0,0
"Ruby+Rose",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3226431223,2,0,0,0,0,0,0,0
"jen10",884,64,60,70,63,49,36,49,56,75,1,53,51,40,50,43,1,1,1,1,1,36,1,1,1,35,1,1,1,4079930,1,0,0,0,0,0,0,0
"Terd",2896,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,118,99,120,120,2323927382,2,0,0,0,0,0,0,0
"JohnTraher",1608,64,70,60,69,60,55,70,67,68,61,66,61,59,72,67,59,53,68,65,58,77,56,62,57,81,1,1,1,13806308,3,0,0,0,0,0,0,0
"CaptainLevi",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3323796878,2,0,0,0,0,0,0,0
"Chemicalabe",847,64,71,66,67,26,32,51,57,55,1,52,33,67,34,35,1,15,1,51,1,1,1,25,1,1,1,1,1,3781878,1,0,0,0,0,0,0,0
"Connorina",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3466291350,1,0,0,0,0,0,0,0
"kpduzit",722,64,64,66,66,44,32,44,49,46,24,52,16,1,39,38,1,1,21,1,1,1,1,1,1,1,1,1,1,2403072,1,0,0,0,0,0,0,0
"Fragile+Hope",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2511373318,2,0,0,0,0,0,0,0
"Multiply100",703,64,64,69,65,16,28,40,56,69,1,65,36,1,52,47,1,1,1,1,1,1,1,1,1,1,1,1,1,3656637,1,0,0,0,0,0,0,0
"Rush+Rat+129",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Teh+Go+Walk",1193,64,65,63,69,48,44,68,64,89,36,81,68,42,45,67,24,22,17,19,1,38,64,21,25,34,1,1,1,12188197,3,0,0,0,0,0,0,0
"BradC",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2706445177,2,0,0,0,0,0,0,0
"oH2Yolo3IYuA",212,64,1,64,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1088578,1,0,0,0,0,0,0,0
"Th0rium",2890,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,116,99,99,99,99,120,99,120,116,2043713183,2,0,0,0,0,0,0,0
"BintCloud3",952,64,64,64,68,65,45,60,50,55,1,50,55,66,53,32,1,20,1,1,1,57,1,1,1,15,1,1,1,4124538,1,0,0,0,0,0,0,0
"SkinTone5",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4246749051,1,0,0,0,0,0,0,0
"Kivomax",731,64,53,54,59,50,39,35,60,60,1,60,64,17,49,52,1,1,1,1,1,1,1,1,1,1,1,1,1,2634534,1,0,0,0,0,0,0,0
"King+Tritonn",2517,99,99,99,99,99,99,99,74,91,79,99,79,86,81,85,98,89,98,101,85,91,78,81,99,90,84,120,36,1066398473,1,0,0,0,0,0,0,0
"EqTxEuXlySIR",212,64,1,64,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1088574,1,0,0,0,0,0,0,0
"Faveladoiraq",2881,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,103,4336135738,1,0,0,0,0,0,0,0
"Dauphh",843,64,62,70,66,47,40,53,63,55,1,61,42,42,55,72,1,1,1,1,1,38,1,1,1,1,1,1,1,4467936,1,0,0,0,0,0,0,0
"MrRoronoa",1372,99,99,99,99,70,73,61,38,37,26,23,35,35,44,25,28,70,33,88,22,26,26,20,85,85,25,1,1,690534824,1,0,0,0,0,0,0,0
"Batdanny1",971,64,58,61,61,49,37,48,53,63,48,52,47,42,38,47,1,37,40,20,1,28,25,23,1,1,1,1,1,2571915,1,0,0,0,0,0,0,0
"Public+Enemy",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4733002470,1,0,0,0,0,0,0,0
"Chacim5",979,64,60,70,66,56,43,70,76,75,1,57,80,50,52,62,1,1,1,1,1,50,1,1,1,34,1,1,1,8478794,1,0,0,0,0,0,0,0
"Cat+Champs",2531,99,99,99,99,99,99,99,99,99,78,94,85,95,94,86,104,91,78,103,90,78,86,99,99,100,87,92,1,818369053,1,0,0,0,0,0,0,0
"DarliesBored",1317,64,67,65,70,70,38,50,62,78,16,62,75,39,61,68,16,43,66,18,71,40,18,18,41,37,31,1,32,9340982,1,0,0,0,0,0,0,0
"Mummybear",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5271956226,1,0,0,0,0,0,0,0
"Jicktor",1230,64,64,65,65,62,46,69,58,63,36,68,55,51,46,54,37,51,53,29,24,22,58,46,16,27,1,1,1,5270928,3,0,0,0,0,0,0,0
"K+Graber",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5278645846,1,0,0,0,0,0,0,0
"Old+Mad+Mike",1823,64,64,70,65,66,63,64,89,81,64,95,80,81,84,85,60,56,56,55,68,64,56,60,62,75,62,1,33,36048807,1,0,0,0,0,0,0,0
"7+A+M+A+D+A",2712,99,99,99,99,99,99,99,99,83,99,93,99,99,99,99,106,99,90,100,60,75,89,99,99,114,99,120,99,1547689862,1,0,0,0,0,0,0,0
"bjodnifaen",904,64,57,71,65,42,42,34,62,92,24,64,44,38,38,75,1,25,18,1,1,32,1,1,1,1,1,1,1,11224229,1,0,0,0,0,0,0,0
"Elsa+BLM",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5350473042,1,0,0,0,0,0,0,0
"H+U+N+T+3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Its+Luis",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3730646578,1,0,0,0,0,0,0,0
"Browny145",972,64,60,62,62,40,43,48,45,72,67,46,50,44,44,63,22,31,17,30,1,35,1,16,1,1,1,1,1,3817936,1,0,0,0,0,0,0,0
"Vorging",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2964587163,2,0,0,0,0,0,0,0
"TheRealScuba",1651,64,64,62,62,62,65,68,64,64,66,64,67,67,68,73,60,63,63,61,60,60,60,60,60,60,61,1,1,11188809,1,0,0,0,0,0,0,0
"Lazy+Dan",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3156401785,2,0,0,0,0,0,0,0
"Range+d00d",1411,64,82,69,82,53,59,90,61,68,57,56,65,50,86,96,28,61,38,67,1,30,1,21,15,61,1,1,20,28877442,1,0,0,0,0,0,0,0
"Far+Quie",2888,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,110,3219007172,2,0,0,0,0,0,0,0
"PezzMista",1289,64,75,66,68,52,53,48,53,57,33,61,58,52,60,50,25,47,32,52,45,16,48,40,27,40,61,1,1,5441032,3,0,0,0,0,0,0,0
"N1GHT73",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2567398427,2,0,0,0,0,0,0,0
"RoadkillChef",2106,64,65,64,68,78,79,68,76,77,76,73,80,84,83,83,78,78,73,71,106,66,73,84,76,82,81,41,79,70046523,1,0,0,0,0,0,0,0
"Half+G",2835,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,104,99,99,111,103,99,99,99,99,120,99,120,99,1055239183,1,0,0,0,0,0,0,0
"[#DZLU55Z7I]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Vincent+7c",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2345593807,2,0,0,0,0,0,0,0
"17start",1162,64,59,69,64,1,60,40,77,81,90,70,79,66,88,91,1,1,1,1,1,54,1,1,1,35,1,1,20,25598440,1,0,0,0,0,0,0,0
"mrticklepro",2885,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,114,99,99,120,115,99,99,99,99,118,99,120,120,2130903283,2,0,0,0,0,0,0,0
"Taurimoomoo",937,64,61,63,62,28,45,53,62,65,30,82,33,41,38,50,22,41,39,1,26,1,1,15,1,1,1,1,1,5234198,3,0,0,0,0,0,0,0
"S+A+D+R+N+G",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"ReyWay",787,64,63,67,65,56,35,34,64,37,1,64,20,31,31,30,1,25,16,23,1,18,1,1,1,21,1,1,1,3011885,1,0,0,0,0,0,0,0
"xMiztics",2894,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,116,2877348658,2,0,0,0,0,0,0,0
"Fireking767",991,64,60,60,61,29,33,50,78,70,31,78,29,40,35,57,1,31,21,17,1,50,1,1,1,31,1,1,1,6222639,1,0,0,0,0,0,0,0
"King+Wadu",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2318274379,2,0,0,0,0,0,0,0
"Peen+Dream",1206,63,70,62,65,70,44,55,40,59,40,37,53,46,51,60,32,56,44,39,20,21,36,20,30,30,50,1,1,4443205,1,0,0,0,0,0,0,0
"Reality+Suks",2874,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,112,99,99,120,112,99,99,99,99,120,99,120,112,2711638408,2,0,0,0,0,0,0,0
"torito37",1309,63,65,85,81,82,50,61,99,78,41,97,58,66,46,76,33,37,33,46,1,60,1,1,28,15,1,1,1,42625159,1,0,0,0,0,0,0,0
"Lightning+dk",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3571817719,1,0,0,0,0,0,0,0
"crzykilla12",801,63,63,87,80,71,52,62,32,1,1,15,44,1,17,1,1,1,15,1,1,15,19,1,1,15,1,1,1,8319982,1,0,0,0,0,0,0,0
"fluffyshots",2891,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,113,99,120,120,2339712496,2,0,0,0,0,0,0,0
"Bigdong213",475,63,61,61,61,1,29,1,1,1,1,1,1,40,1,1,1,24,1,42,1,1,1,1,1,1,1,1,1,1450476,1,0,0,0,0,0,0,0
"Demin",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3768091472,1,0,0,0,0,0,0,0
"DIMITRIOZERA",807,63,53,70,61,31,32,48,65,60,41,84,1,23,34,40,1,29,25,1,1,1,1,1,1,1,1,1,1,5579588,3,0,0,0,0,0,0,0
"Antonin",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2475947137,2,0,0,0,0,0,0,0
"Sigh+No+More",1050,63,60,66,64,50,45,55,59,63,50,59,60,59,45,64,27,24,34,30,1,17,1,31,1,1,1,1,1,4064603,1,0,0,0,0,0,0,0
"Draakje+X_X",2889,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,114,99,99,99,99,117,99,120,120,1809766601,1,0,0,0,0,0,0,0
"moneyjoe16",819,63,60,60,60,41,37,37,23,60,34,1,24,31,54,58,1,30,1,26,1,1,1,1,1,39,26,1,1,2151642,1,0,0,0,0,0,0,0
"Dr+Quix",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2507347646,2,0,0,0,0,0,0,0
"Naguk",905,63,60,65,63,44,45,55,61,91,1,59,75,50,41,43,1,1,1,1,1,44,1,1,1,31,1,1,1,10376705,1,0,0,0,0,0,0,0
"Thaler",2877,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,113,99,99,120,119,99,99,99,99,120,99,120,107,2818589477,2,0,0,0,0,0,0,0
"HoLeeChipz",1206,63,50,70,64,52,43,59,56,47,82,62,52,51,69,40,43,38,43,36,25,46,26,24,16,24,24,1,1,6452222,1,0,0,0,0,0,0,0
"Cher+Ami91",2588,99,80,90,99,87,80,87,99,83,96,98,80,95,93,94,111,82,75,100,119,76,96,93,76,89,99,115,97,570052759,1,0,0,0,0,0,0,0
"NickeSvens",952,63,60,58,60,45,43,57,47,48,35,47,46,52,51,59,23,37,42,37,1,27,1,1,1,1,1,1,1,2460471,1,0,0,0,0,0,0,0
"Hoods+Wrath",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4320350543,1,0,0,0,0,0,0,0
"Zao+DK25",1077,63,66,62,65,61,54,51,66,69,77,54,64,61,66,70,1,1,1,1,1,25,1,1,1,56,1,1,19,7468932,1,0,0,0,0,0,0,0
"Santosga",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4442585922,1,0,0,0,0,0,0,0
"Squirter83",688,63,60,44,57,1,30,20,41,52,17,37,21,1,17,49,1,31,1,1,1,1,35,1,1,27,24,1,1,1331704,1,0,0,0,0,0,0,0
"Hot+Nerd",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4552576226,1,0,0,0,0,0,0,0
"Wizard9581",995,63,62,61,63,54,35,64,41,68,28,31,56,44,67,64,25,35,36,25,1,27,1,1,1,1,1,1,1,4085778,1,0,0,0,0,0,0,0
"alexdrewdad",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4668789575,1,0,0,0,0,0,0,0
"DurinOakhorn",843,63,60,60,60,47,33,39,52,35,1,53,36,31,60,61,1,26,16,1,1,26,1,1,1,54,1,1,1,2496062,1,0,0,0,0,0,0,0
"Khmer+Mage03",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3805393498,1,0,0,0,0,0,0,0
"Loves2Climb",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"CurlyKicker",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3048939996,2,0,0,0,0,0,0,0
"Robesail2857",1096,63,62,61,65,51,46,61,46,69,32,43,44,40,57,52,46,26,26,41,1,48,16,21,1,31,1,1,24,3561405,1,0,0,0,0,0,0,0
"Sliske+Suck",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2416955540,2,0,0,0,0,0,0,0
"Dr+Rap10",1093,63,64,66,63,43,45,53,42,89,41,44,61,44,42,50,19,49,44,30,24,23,46,39,1,1,1,1,1,8208328,1,0,0,0,0,0,0,0
"Greeni",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2927410897,2,0,0,0,0,0,0,0
"Acidrainja",1173,63,62,63,62,57,45,69,62,59,50,63,61,48,50,69,18,53,30,1,31,27,1,50,28,39,1,1,1,5087435,3,0,0,0,0,0,0,0
"Sunami",2882,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,118,120,99,99,99,99,114,99,120,112,1902013304,2,0,0,0,0,0,0,0
"Dark+Provail",959,63,60,41,51,41,33,48,41,47,36,31,46,39,46,40,20,34,19,21,1,56,1,36,17,45,1,1,1,1678672,1,0,0,0,0,0,0,0
"Oceanborn",2767,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,108,99,99,99,99,120,99,120,1,2461378172,2,0,0,0,0,0,0,0
"Giftedelfox",776,63,54,70,64,46,38,49,64,45,1,60,40,47,56,66,1,1,1,1,1,1,1,1,1,1,1,1,1,3492280,1,0,0,0,0,0,0,0
"Lab+Chemist",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2794464215,2,0,0,0,0,0,0,0
"45ocgarain",850,63,61,67,65,56,42,46,66,53,1,67,55,45,51,62,1,1,1,1,1,38,1,1,1,1,1,1,1,3921776,1,0,0,0,0,0,0,0
"NA+Hopium",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2634613102,2,0,0,0,0,0,0,0
"Peter66669",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"uowap",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3135470542,2,0,0,0,0,0,0,0
"[#RM8MEE9VK]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"XeroCrits",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2651517019,2,0,0,0,0,0,0,0
"Bubulis75",1148,63,62,65,66,64,47,62,69,63,31,69,65,52,89,77,1,22,1,1,1,32,1,1,1,53,21,1,1,11620810,1,0,0,0,0,0,0,0
"GeorgeJ",2773,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,99,99,99,99,99,99,99,99,99,99,573718368,1,0,0,0,0,0,0,0
"MrRayCharles",777,63,62,69,65,40,41,48,40,54,1,50,31,38,36,41,1,1,29,1,1,1,1,1,1,1,1,1,1,2473281,1,0,0,0,0,0,0,0
