"player","level_overall","level_atk","level_def","level_str","level_constiution","level_range","level_prayer","level_magic","level_cooking","level_wood_cutting","level_fletching","level_fishing","level_fire_making","level_crafting","level_smithing","level_mining","level_herb","level_agile","level_theiving","level_slayer","level_farming","level_rune_crafting","level_hunting","level_construction","level_summoning","level_dungeoneering","level_div","level_inven","level_arc","total_xp_overall","cluster","Basic_member_pure","Obby_Mauler_Pure","Black_Pure","Turmoil_Proselyte_Pure","Barrows_Pure","Anti_Pure","Summoning_Tank_Defence","Skiller_Pure","number_of_99s","number_of_120s"
"Reality+Suks",2874,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,112,99,99,120,112,99,99,99,99,120,99,120,112,2711638408,2,0,0,0,0,0,0,0,0,22,3
"Lightning+dk",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3571817719,1,0,0,0,0,0,0,0,0,22,6
"fluffyshots",2891,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,113,99,120,120,2339712496,2,0,0,0,0,0,0,0,0,22,5
"Demin",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3768091472,1,0,0,0,0,0,0,0,0,22,6
"Antonin",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2475947137,2,0,0,0,0,0,0,0,0,22,6
"Draakje+X_X",2889,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,114,99,99,99,99,117,99,120,120,1809766601,1,0,0,0,0,0,0,0,0,22,4
"Dr+Quix",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2507347646,2,0,0,0,0,0,0,0,0,22,6
"Thaler",2877,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,113,99,99,120,119,99,99,99,99,120,99,120,107,2818589477,2,0,0,0,0,0,0,0,0,22,3
"Hoods+Wrath",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4320350543,1,0,0,0,0,0,0,0,0,22,6
"Santosga",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4442585922,1,0,0,0,0,0,0,0,0,22,6
"Hot+Nerd",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4552576226,1,0,0,0,0,0,0,0,0,22,6
"alexdrewdad",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4668789575,1,0,0,0,0,0,0,0,0,22,6
"Khmer+Mage03",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3805393498,1,0,0,0,0,0,0,0,0,22,6
"CurlyKicker",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3048939996,2,0,0,0,0,0,0,0,0,22,6
"Sliske+Suck",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2416955540,2,0,0,0,0,0,0,0,0,22,6
"Greeni",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2927410897,2,0,0,0,0,0,0,0,0,22,6
"Sunami",2882,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,118,120,99,99,99,99,114,99,120,112,1902013304,2,0,0,0,0,0,0,0,0,22,3
"Oceanborn",2767,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,108,99,99,99,99,120,99,120,1,2461378172,2,0,0,0,0,0,0,0,0,22,4
"Lab+Chemist",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2794464215,2,0,0,0,0,0,0,0,0,22,6
"NA+Hopium",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2634613102,2,0,0,0,0,0,0,0,0,22,6
"uowap",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3135470542,2,0,0,0,0,0,0,0,0,22,6
"XeroCrits",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2651517019,2,0,0,0,0,0,0,0,0,22,6
"GeorgeJ",2773,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,99,99,99,99,99,99,99,99,99,99,573718368,1,0,0,0,0,0,0,0,0,27,0
"XtractArtist",2838,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,113,99,99,111,100,99,99,99,99,103,99,120,113,1673100083,1,0,0,0,0,0,0,0,0,22,1
"WFZ",2584,99,99,99,99,99,99,99,72,89,99,99,88,99,99,83,99,85,83,106,70,70,82,81,99,102,83,120,83,650335336,1,0,0,0,0,0,0,0,0,13,1
"PackMyYak",2852,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,105,99,99,115,104,99,99,99,99,110,99,120,120,1155463190,1,0,0,0,0,0,0,0,0,22,2
"Drama",2891,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,113,2133081795,2,0,0,0,0,0,0,0,0,22,5
"streaktyme",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2834623254,2,0,0,0,0,0,0,0,0,22,6
"Sickest",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2614558563,2,0,0,0,0,0,0,0,0,22,6
"Axeraid444",2818,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,103,99,99,120,99,99,99,99,99,99,99,120,99,927937982,1,0,0,0,0,0,0,0,0,25,2
"1stBitcoin",2809,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,105,99,99,100,101,99,99,99,99,105,99,120,100,1050915321,1,0,0,0,0,0,0,0,0,22,1
"Vitalization",2896,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,118,99,120,120,1976505474,2,0,0,0,0,0,0,0,0,22,5
"Haun+Solo",2840,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,115,102,99,99,99,99,105,99,120,100,1133399468,1,0,0,0,0,0,0,0,0,22,2
"Loyal+Alpha",2862,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,105,99,99,99,99,120,99,120,99,1428013498,1,0,0,0,0,0,0,0,0,23,4
"HellzMage",2834,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,107,99,99,104,105,99,99,99,99,114,99,120,106,1093946728,1,0,0,0,0,0,0,0,0,22,1
"Jordiren",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2783257464,2,0,0,0,0,0,0,0,0,22,6
"iCipt",2672,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,104,100,99,99,99,99,109,99,80,1,747273475,1,0,0,0,0,0,0,0,0,22,0
"A+Wild+Beer",2867,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,109,99,99,99,99,120,99,120,100,1525202874,1,0,0,0,0,0,0,0,0,22,4
"Tore",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2394494772,2,0,0,0,0,0,0,0,0,22,6
"HanxHano",2833,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,103,99,99,110,103,99,99,99,99,120,99,120,99,1182719748,1,0,0,0,0,0,0,0,0,23,2
"Juster",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3508342355,1,0,0,0,0,0,0,0,0,22,6
"Getsomebabe",2892,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,116,118,99,99,99,99,120,99,120,120,1959521923,2,0,0,0,0,0,0,0,0,22,4
"Lil+M+I+K+I",2865,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,107,120,99,99,99,99,100,99,120,120,2287582882,2,0,0,0,0,0,0,0,0,22,4
"LostBoyToph",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2660678964,2,0,0,0,0,0,0,0,0,22,6
"Sifuu",2792,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,99,99,99,115,99,102,99,751533931,1,0,0,0,0,0,0,0,0,25,0
"Gob+Father",2866,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,119,99,99,113,107,99,99,99,99,109,99,120,120,1236624983,1,0,0,0,0,0,0,0,0,22,2
"Badboy",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2633648589,2,0,0,0,0,0,0,0,0,22,6
"SlaynSin",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2734921212,2,0,0,0,0,0,0,0,0,22,6
"Gordon+Ross",2839,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,105,99,99,115,103,99,99,99,99,116,99,120,102,1193641420,1,0,0,0,0,0,0,0,0,22,1
"thedrago01",2482,99,99,99,99,99,99,99,74,80,76,84,72,82,82,80,99,80,75,89,86,72,99,80,99,100,88,106,86,630928066,1,0,0,0,0,0,0,0,0,10,0
"Stoomp",2801,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,101,99,99,101,106,99,99,99,99,100,99,110,105,741389145,1,0,0,0,0,0,0,0,0,22,0
"P+S+Y",2576,99,99,99,99,99,99,99,97,97,99,99,99,90,91,92,99,91,86,100,86,90,85,99,99,100,89,94,1,433479505,1,0,0,0,0,0,0,0,0,13,0
"Ia+in",2871,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,107,99,99,120,115,99,99,99,99,120,99,120,111,1265989185,1,0,0,0,0,0,0,0,0,22,3
"Suker13",2808,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,112,99,99,109,105,99,99,99,99,101,99,113,90,693380662,1,0,0,0,0,0,0,0,0,22,0
"Deku+Sticks",2886,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,115,99,99,117,120,99,99,99,99,119,99,120,117,1257036165,1,0,0,0,0,0,0,0,0,22,2
"manky",2600,99,99,99,99,88,99,99,92,79,77,99,99,96,99,99,99,83,99,96,110,78,81,87,96,93,95,80,81,851886751,1,0,0,0,0,0,0,0,0,12,0
"RaidenUnreal",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,1637453331,1,0,0,0,0,0,0,0,0,22,6
"VoidNuts",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,1889093529,2,0,0,0,0,0,0,0,0,22,6
"Ayc",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3205362036,2,0,0,0,0,0,0,0,0,22,6
"Little+Lars",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2540573043,2,0,0,0,0,0,0,0,0,22,6
"Echo+of+Myst",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3886818030,1,0,0,0,0,0,0,0,0,22,6
"Miseryoflife",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,1949481740,2,0,0,0,0,0,0,0,0,22,6
"endue",2790,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,101,99,92,120,101,92,99,99,99,99,99,120,85,1097590595,1,0,0,0,0,0,0,0,0,21,2
"MichaelH",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2728119097,2,0,0,0,0,0,0,0,0,22,6
"Dr+Rumpkins",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2935260919,2,0,0,0,0,0,0,0,0,22,6
"VIVIC2",2837,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,105,99,99,112,106,99,99,99,99,110,99,120,106,1335659148,1,0,0,0,0,0,0,0,0,22,1
"SrIsaac",2412,99,99,99,99,99,99,99,73,77,74,84,95,86,81,81,99,79,69,86,62,92,68,99,99,96,88,81,50,319642073,1,0,0,0,0,0,0,0,0,10,0
"CluesHunt",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2798139371,2,0,0,0,0,0,0,0,0,22,6
"Polle1345",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2864487682,2,0,0,0,0,0,0,0,0,22,6
"bOoTeD",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2447640636,2,0,0,0,0,0,0,0,0,22,6
"x+Jac+x",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,1958110383,2,0,0,0,0,0,0,0,0,22,6
"Talzn",2671,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,99,99,105,99,90,1,462979406,1,0,0,0,0,0,0,0,0,24,0
"Bo+Burnham",2827,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,104,99,99,120,102,99,99,99,99,104,99,120,99,761104665,1,0,0,0,0,0,0,0,0,23,2
"Hotrod069",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2426550977,2,0,0,0,0,0,0,0,0,22,6
"In+Pluviae",2851,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,107,99,99,118,107,99,99,99,99,101,99,120,120,1072386893,1,0,0,0,0,0,0,0,0,22,2
"SenorPumpkin",2837,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,120,110,99,99,99,99,99,99,120,110,1180524900,1,0,0,0,0,0,0,0,0,23,2
"Flusen",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,1693024331,1,0,0,0,0,0,0,0,0,22,6
"Pigsley",2897,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,119,120,99,99,99,99,120,99,120,120,1561993509,1,0,0,0,0,0,0,0,0,22,5
"Queen+Boppi",2669,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,101,99,99,106,103,99,99,99,99,100,85,46,49,762130099,1,0,0,0,0,0,0,0,0,21,0
"Aye+James",2791,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,101,99,99,100,99,99,99,99,99,99,99,115,99,582381745,1,0,0,0,0,0,0,0,0,25,0
"Mah+Jae+II",2736,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,106,99,99,107,118,99,99,99,99,119,99,107,1,1688715193,1,0,0,0,0,0,0,0,0,22,0
"Nodough",2730,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,101,99,99,103,110,99,99,99,99,117,99,120,1,1119666205,1,0,0,0,0,0,0,0,0,22,1
"Roland0103",2522,99,99,99,99,99,97,99,81,96,99,93,99,90,97,85,100,86,83,106,74,71,75,82,99,88,82,93,52,379025231,1,0,0,0,0,0,0,0,0,9,0
"Goddessovdrm",2872,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,109,99,99,120,117,99,99,99,99,120,99,120,108,1561058357,1,0,0,0,0,0,0,0,0,22,3
"Aku+H00d",2465,99,99,99,99,99,99,99,99,95,93,96,97,90,99,95,98,90,86,103,87,91,88,90,99,95,76,1,1,360406422,1,0,0,0,0,0,0,0,0,10,0
"Tyler6",2862,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,106,99,99,120,102,99,99,99,99,116,99,120,120,1022431651,1,0,0,0,0,0,0,0,0,22,3
"Bagman",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,1666749486,1,0,0,0,0,0,0,0,0,22,6
"Dartrix",2875,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,112,99,99,120,114,99,99,99,99,115,99,120,116,1465615103,1,0,0,0,0,0,0,0,0,22,2
"Adzabeast",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,1614492833,1,0,0,0,0,0,0,0,0,22,6
"Logan",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,1500881275,1,0,0,0,0,0,0,0,0,22,6
"Iron+QoL",2873,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,115,99,99,112,120,99,99,99,99,108,99,120,120,1471163912,1,0,0,0,0,0,0,0,0,22,3
"Back2Backk",2730,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,105,99,99,106,100,99,99,99,99,120,99,120,1,1202011382,1,0,0,0,0,0,0,0,0,22,2
"my+dad+hole",2096,62,60,94,87,99,35,99,99,99,99,99,99,96,91,95,87,99,99,64,86,80,93,92,1,79,1,1,1,211992750,1,0,0,0,0,0,0,0,0,9,0
